track_id,valence
0bYg9bo50gSsH3LtXe2SQn,0.346
7wGoVu4Dady5GV0Sv4UIsx,0.119
2FRnf9qhLbvw8fu4IBXx78,0.947
0ofbQMrRDsUaVKq2mGLEAb,0.418
1bhUWB0zJMIKr9yVPrkEuI,0.356
3VTNVsTTu05dmTsVFrmGpK,0.474
6mrKP2jyIQmM0rw6fQryjr,0.437
7EI6Iki24tBHAMxtb4xQN2,0.321
2ekn2ttSfGqwhhate0LSR0,0.656
2xmrfQpmS2iJExTlklLoAL,0.33
2nUJvBO87SkxCViQsLc9Zr,0.633
1hvpDAxZPKjKztOc72sv06,0.349
7vGuf3Y35N4wmASOKLUVVU,0.286
7EmGUiUaOSGDnUUQUDrOXC,0.327
0lLdorYw7lVrJydTINhWdI,0.381
75ZvA4QfFiZvzhj2xkaWAh,0.308
3YQUpKTmtgPJf8u6ooi9KA,0.814
15DwFznkBJir7AK9PyMyRR,0.667
3T7dNA7O8c3Axj5WyDNcH3,0.849
6KfNna0zfHtWJJ803hFBWX,0.648
7amMgNDcObIDkIXv4xcvc2,0.765
4USHZ3omhEBGjHLD9BIJYs,0.536
1mXVgsBdtIVeCLJnSnmtdV,0.534
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1ADjWm8QNhgNV8yCNNgQ1T,0.527
2z4pcBLQXF2BXKFvd0BuB6,0.62
5Z3GHaZ6ec9bsiI5BenrbY,0.394
2ISl1zekPsc26sUQpVt8UB,0.962
6ju3FaV3aVLzGzwERKZuFK,0.89
6pWzEnoUsuiTcp6odVDovx,0.533
0tgVpDi06FyKpA1z0VMD4v,0.168
0ihguwGVwKihJ1Nj8fGQlY,0.224
43ZyHQITOjhciSUUNPVRHc,0.699
3zJw3rugfpVrmBeDDnUYzy,0.395
1HrMWH5GUdK6Yi94rbANJA,0.444
3B54sVLJ402zGa6Xm4YGNe,0.733
2VoJe7vkKkigs7C3CGnSXL,0.816
7qiZfU4dY1lWllzX7mPBI3,0.931
4gavOCQdZ2g86gkvi17FM7,0.771
1mH6tZC6iXIHPI6EixCwxw,0.528
5STWwZgJ5gHzXdOsZ1hTqH,0.545
0ZoHHROTzwIYeNAHRPedTY,0.89
7krbSH3rd8lhIZvuzTV3Bl,0.238
4so0Wek9Ig1p6CRCHuINwW,0.236
5hslUAKq9I9CG2bAulFkHN,0.776
3iwZ8hg0q1kTBB5kjg0nO4,0.511
2SBr3MK1sdMs8IxdRcN6qz,0.416
32OWobmyAz8J2qA8iWekyS,0.881
78pn8k7RogKo2oxl0DyX6d,0.758
6tjituizSxwSmBB5vtgHZE,0.699
